symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-03-18 00:00:00+00:00,168.95,173.25,167.86,171.08,12174829,41.950803276,43.0185064668,41.6801529323,42.4796888101,48699316,0.0,1.0
NVDA,2019-03-19 00:00:00+00:00,175.71,177.5,172.08,172.76,21374310,43.6293320132,44.0737945043,42.7279918777,42.8968379637,85497240,0.0,1.0
NVDA,2019-03-20 00:00:00+00:00,174.4,179.03,173.0,176.88,17978715,43.3040549946,44.4536981977,42.9564306999,43.9198466023,71914860,0.0,1.0
NVDA,2019-03-21 00:00:00+00:00,183.94,185.0,175.13,175.33,20607767,45.6728662598,45.9360675115,43.485316234,43.5349768475,82431068,0.0,1.0
NVDA,2019-03-22 00:00:00+00:00,177.5,184.8,176.94,182.84,18691087,44.0737945043,45.886406898,43.9347447864,45.3997328854,74764348,0.0,1.0
NVDA,2019-03-25 00:00:00+00:00,173.78,178.45,171.11,175.86,13130301,43.1501070927,44.3096824185,42.4871379021,43.6665774733,52521204,0.0,1.0
NVDA,2019-03-26 00:00:00+00:00,176.87,181.75,174.6,179.49,17587678,43.9173635717,45.1290825417,43.3537156081,44.5679176088,70350712,0.0,1.0
NVDA,2019-03-27 00:00:00+00:00,176.5,179.77,173.7,177.9,11859294,43.8254914366,44.6374424678,43.1302428473,44.1731157313,47437176,0.0,1.0
NVDA,2019-03-28 00:00:00+00:00,177.25,179.9,175.11,177.55,12006602,44.0117187374,44.6697218666,43.4803501726,44.0862096576,48026408,0.0,1.0
NVDA,2019-03-29 00:00:00+00:00,179.56,180.54,177.91,179.94,11422379,44.5852988236,44.8286358299,44.175598762,44.6796539893,45689516,0.0,1.0
NVDA,2019-04-01 00:00:00+00:00,182.28,183.5,180.37,183.26,12095612,45.2606831675,45.56361291,44.7864243084,45.5040201738,48382448,0.0,1.0
NVDA,2019-04-02 00:00:00+00:00,183.0,184.79,181.52,183.25,11022996,45.4394613762,45.8839238673,45.0719728361,45.5015371431,44091984,0.0,1.0
NVDA,2019-04-03 00:00:00+00:00,188.62,191.0,184.8,185.0,19719468,46.8349246163,47.4258859173,45.886406898,45.9360675115,78877872,0.0,1.0
NVDA,2019-04-04 00:00:00+00:00,188.26,189.97,185.73,188.0,11434419,46.745535512,47.1701337576,46.1173287509,46.6809767144,45737676,0.0,1.0
NVDA,2019-04-05 00:00:00+00:00,190.95,191.65,188.53,190.0,12043649,47.4134707639,47.5872829112,46.8125773402,47.1775828496,48174596,0.0,1.0
NVDA,2019-04-08 00:00:00+00:00,191.79,192.8,188.75,189.72,10604848,47.6220453407,47.872831439,46.8672040151,47.1080579907,42419392,0.0,1.0
NVDA,2019-04-09 00:00:00+00:00,189.26,190.89,187.56,190.44,10999320,46.9938385796,47.3985725798,46.5717233646,47.2868361994,43997280,0.0,1.0
NVDA,2019-04-10 00:00:00+00:00,192.1,193.14,189.05,189.23,11119307,47.6990192917,47.957254482,46.9416949354,46.9863894876,44477228,0.0,1.0
NVDA,2019-04-11 00:00:00+00:00,191.54,193.47,189.55,192.2,9365037,47.5599695738,48.0391944943,47.0658464692,47.7238495984,37460148,0.0,1.0
NVDA,2019-04-12 00:00:00+00:00,190.01,193.26,189.66,193.1,11792664,47.1800658803,47.9870508501,47.0931598066,47.9473223593,47170656,0.0,1.0
NVDA,2019-04-15 00:00:00+00:00,184.7,189.9,183.1,189.7,11002345,45.8615765912,47.1527525429,45.464291683,47.1030919293,44009380,0.0,1.0
NVDA,2019-04-16 00:00:00+00:00,188.21,188.97,184.96,186.28,9874091,46.7331203586,46.92183069,45.9261353888,46.253895438,39496364,0.0,1.0
NVDA,2019-04-17 00:00:00+00:00,187.29,190.46,186.39,189.62,8775068,46.5046815364,47.2918022607,46.2812087755,47.0832276839,35100272,0.0,1.0
NVDA,2019-04-18 00:00:00+00:00,186.3,188.93,185.18,187.56,9524704,46.2588614994,46.9118985673,45.9807620637,46.5717233646,38098816,0.0,1.0
NVDA,2019-04-22 00:00:00+00:00,188.47,189.1,184.08,185.35,6998388,46.7976791562,46.9541100888,45.7076286893,46.0229735852,27993552,0.0,1.0
NVDA,2019-04-23 00:00:00+00:00,190.67,191.93,188.61,189.0,8671381,47.3439459049,47.6568077702,46.8324415856,46.929279782,34685524,0.0,1.0
NVDA,2019-04-24 00:00:00+00:00,191.17,192.81,188.64,191.09,7955120,47.4680974388,47.8753144697,46.8398906777,47.4482331933,31820480,0.0,1.0
NVDA,2019-04-25 00:00:00+00:00,186.91,190.45,183.7,189.55,12482437,46.4103263707,47.2893192301,45.6132735236,47.0658464692,49929748,0.0,1.0
NVDA,2019-04-26 00:00:00+00:00,178.09,180.89,173.3,180.71,21724729,44.2202933142,44.9155419035,43.0309216202,44.8708473514,86898916,0.0,1.0
NVDA,2019-04-29 00:00:00+00:00,179.33,180.45,175.5,178.41,9797983,44.528189118,44.8062885538,43.577188369,44.2997502958,39191932,0.0,1.0
NVDA,2019-04-30 00:00:00+00:00,181.0,182.03,177.26,178.03,9073040,44.942855241,45.1986074006,44.014201768,44.2053951301,36292160,0.0,1.0
NVDA,2019-05-01 00:00:00+00:00,180.47,184.81,180.46,183.11,8857031,44.8112546151,45.8888899286,44.8087715844,45.4667747137,35428124,0.0,1.0
NVDA,2019-05-02 00:00:00+00:00,183.19,184.87,179.12,180.86,9867135,45.4866389591,45.9037881127,44.4760454738,44.9080928115,39468540,0.0,1.0
NVDA,2019-05-03 00:00:00+00:00,183.01,183.93,180.53,183.53,8420587,45.4419444069,45.6703832291,44.8261527992,45.5710620021,33682348,0.0,1.0
NVDA,2019-05-06 00:00:00+00:00,179.85,180.34,174.0,175.5,10554445,44.6573067132,44.7789752163,43.2047337676,43.577188369,42217780,0.0,1.0
NVDA,2019-05-07 00:00:00+00:00,173.11,177.9,171.17,177.9,13880458,42.9837440374,44.1731157313,42.5020360862,44.1731157313,55521832,0.0,1.0
NVDA,2019-05-08 00:00:00+00:00,173.92,177.15,171.52,172.0,10479154,43.1848695221,43.9868884306,42.5889421598,42.7081276323,41916616,0.0,1.0
NVDA,2019-05-09 00:00:00+00:00,170.19,171.53,165.4,171.14,16506164,42.2586990799,42.5914251905,41.0693273859,42.4945869941,66024656,0.0,1.0
